Wins,Name,Surface,Rank,Gender
7,Jaziri M.,Hard,111.2857,Male
3,Janowicz J.,Clay,31.3333,Male
2,Janowicz J.,Grass,25,Male
17,Janowicz J.,Hard,39.5294,Male
16,Jankovic J.,Clay,8,Female
22,Jankovic J.,Hard,8.7273,Female
4,Jaksic J.,Hard,137,Female
1,Jabeur O.,Clay,139,Female
1,Jabeur O.,Hard,162,Female
13,Ivanovic A.,Clay,12.3077,Female
7,Ivanovic A.,Grass,12.4286,Female
39,Ivanovic A.,Hard,11.7436,Female
1,Ito T.,Grass,129,Male
2,Ito T.,Hard,114.5,Male
8,Istomin D.,Clay,54.5,Male
6,Istomin D.,Grass,47.6667,Male
13,Istomin D.,Hard,50.2308,Male
6,Isner J.,Clay,10.6667,Male
4,Isner J.,Grass,11.5,Male
27,Isner J.,Hard,13.3704,Male
2,Ishizu S.,Hard,204,Female
1,Irigoyen M.,Clay,156,Female
1,Huta Galung J.,Grass,146,Male
6,Hsieh S.W.,Hard,147.8333,Female
3,Hradecka L.,Hard,169.3333,Female
1,Hozumi E.,Hard,170,Female
1,Hogenkamp R.,Clay,152,Female
6,Hlavackova A.,Hard,156.3333,Female
1,Hewitt L.,Clay,46,Male
7,Hewitt L.,Grass,43.7143,Male
11,Hewitt L.,Hard,50,Male
1,Hernych J.,Grass,285,Male
8,Hercog P.,Clay,63.875,Female
1,Hercog P.,Grass,64,Female
3,Hercog P.,Hard,82.3333,Female
1,Herbert P.H.,Grass,135,Male
4,Herbert P.H.,Hard,132.5,Male
5,Harrison R.,Hard,129.4,Male
8,Hantuchova D.,Clay,31,Female
2,Hantuchova D.,Grass,33,Female
6,Hantuchova D.,Hard,37.3333,Female
7,Hanescu V.,Clay,92.1429,Male
4,Hanescu V.,Hard,80.75,Male
1,Han N.L.,Hard,280,Female
3,Hampton J.,Hard,28,Female
17,Halep S.,Clay,4.0588,Female
6,Halep S.,Grass,3,Female
23,Halep S.,Hard,6.4348,Female
3,Haider-Maurer A.,Clay,109,Male
1,Haider-Maurer A.,Grass,95,Male
10,Haase R.,Clay,49.5,Male
2,Haase R.,Grass,52.5,Male
3,Haase R.,Hard,62.6667,Male
7,Haas T.,Clay,16.1429,Male
7,Haas T.,Hard,12,Male
19,Gulbis E.,Clay,18.9474,Male
1,Gulbis E.,Grass,10,Male
21,Gulbis E.,Hard,19.2381,Male
1,Groth S.,Clay,99,Male
3,Groth S.,Grass,123,Male
5,Groth S.,Hard,126.2,Male
11,Granollers M.,Clay,104,Male
1,Granollers M.,Grass,224,Male
7,Granollers M.,Hard,119.4286,Male
5,Govortsova O.,Hard,116.2,Female
3,Gonzalez M.,Clay,104,Male
5,Gonzalez A.,Clay,76.6,Male
4,Gonzalez A.,Hard,91.25,Male
1,Golubic V.,Hard,196,Female
6,Golubev A.,Clay,60,Male
3,Golubev A.,Hard,72.6667,Male
2,Gojowczyk P.,Grass,120,Male
5,Gojowczyk P.,Hard,146.4,Male
6,Goffin D.,Clay,82.8333,Male
1,Goffin D.,Grass,105,Male
15,Goffin D.,Hard,43.8,Male
6,Goerges J.,Clay,99.8333,Female
9,Goerges J.,Hard,90.6667,Female
2,Glushko J.,Clay,98,Female
1,Glushko J.,Hard,102,Female
18,Giraldo S.,Clay,60.2778,Male
2,Giraldo S.,Grass,35,Male
8,Giraldo S.,Hard,41,Male
10,Giorgi C.,Clay,56.2,Female
4,Giorgi C.,Grass,42.5,Female
13,Giorgi C.,Hard,53.5385,Female
3,Ginepri R.,Hard,259.6667,Male
9,Gimeno-Traver D.,Clay,93.3333,Male
2,Gimeno-Traver D.,Hard,105.5,Male
2,Gicquel M.,Hard,127,Male
5,Gibbs N.,Hard,130.8,Female
1,Gavrilova D.,Hard,365,Female
1,Gatto-Monticone G.,Hard,237,Female
3,Gasquet R.,Clay,13.3333,Male
4,Gasquet R.,Grass,14,Male
22,Gasquet R.,Hard,12.2727,Male
16,Garcia-Lopez G.,Clay,44.75,Male
9,Garcia-Lopez G.,Hard,49.2222,Male
2,Garcia Vidagany B.,Clay,225,Female
