Gender,Surface,Winner,Loser,WRank,LRank,WPts,LPts
Male,Hard,Roger-Vasselin E.,Berlocq C.,40,41,1038,1020
Male,Hard,Garcia-Lopez G.,Haas T.,58,12,801,2435
Male,Hard,Janowicz J.,Thompson J.,20,319,1615,139
Male,Hard,Pospisil V.,Groth S.,30,157,1289,334
Male,Hard,Andujar P.,Ramos A.,48,84,946,626
Male,Hard,Davydenko N.,Kubot L.,61,72,760,686
Male,Hard,Dolgopolov O.,Berankis R.,56,128,825,433
Male,Hard,Tursunov D.,Russell M.,26,92,1314,594
Male,Hard,Djokovic N.,Lacko L.,2,96,12260,582
Male,Hard,Istomin D.,Baghdatis M.,49,108,945,515
Male,Hard,Lajovic D.,Pouille L.,117,193,483,262
Male,Hard,Dimitrov G.,Klahn B.,22,93,1460,592
Male,Hard,Nishikori K.,Matosevic M.,17,54,1915,856
Male,Hard,Przysiezny M.,Zeballos H.,64,65,730,730
Male,Hard,Raonic M.,Gimeno-Traver D.,11,77,2860,662
Male,Hard,Lu Y.H.,Wang J.,53,173,860,302
Male,Hard,Hanescu V.,Gojowczyk P.,76,135,665,423
Male,Hard,Robert S.,Bedene A.,119,104,479,528
Male,Hard,Klizan M.,Isner J.,106,13,518,2310
Male,Hard,Tsonga J.W.,Volandri F.,10,70,3065,694
Male,Hard,Rola B.,Delbonis F.,185,55,276,826
Male,Hard,Federer R.,Duckworth J.,6,133,4355,425
Male,Hard,Gabashvili T.,Stakhovsky S.,79,82,651,636
Male,Hard,Kavcic B.,Stepanek R.,99,44,559,995
Male,Hard,Bellucci T.,Reister J.,129,88,430,612
Male,Hard,Paire B.,Dancevic F.,28,122,1300,460
Male,Hard,Kyrgios N.,Becker B.,183,81,277,640
Male,Hard,Verdasco F.,Zhang Z.,33,253,1235,182
Male,Hard,Seppi A.,Hewitt L.,25,43,1360,1010
Male,Hard,Berrer M.,Llodra M.,144,102,391,541
Male,Hard,Bautista R.,Smyczek T.,62,90,750,600
Male,Hard,Del Potro J.M.,Williams R.,5,130,5415,428
Male,Hard,Millot V.,Odesnik W.,267,139,170,410
Male,Hard,Lopez F.,Devvarman S.,27,97,1310,579
Male,Hard,Young D.,Haase R.,91,45,595,977
Male,Hard,Simon G.,Brands D.,19,59,1790,779
Male,Hard,Sock J.,Kamke T.,95,78,582,651
Male,Hard,Murray A.,Soeda G.,4,112,5560,498
Male,Hard,Kokkinakis T.,Sijsling I.,570,73,53,681
Male,Hard,Cilic M.,Granollers M.,36,222,1130,215
Male,Hard,Monfils G.,Harrison R.,32,110,1245,504
Male,Hard,Nadal R.,Tomic B.,1,57,13130,810
Male,Hard,Berdych T.,De Schepper K.,7,86,4180,617
Male,Hard,Dzumhur D.,Dodig I.,188,34,272,1190
Male,Hard,Mayer F.,Youzhny M.,37,15,1110,2145
Male,Hard,Gasquet R.,Davydenko N.,9,61,3140,760
Male,Hard,Janowicz J.,Andujar P.,20,48,1615,946
Male,Hard,Ferrer D.,Mannarino A.,3,71,5640,692
Male,Hard,Chardy J.,Dolgopolov O.,31,56,1255,825
Male,Hard,Robredo T.,Benneteau J.,18,38,1810,1090
Male,Hard,Djokovic N.,Mayer L.,2,98,12260,579
Male,Hard,Istomin D.,Tursunov D.,49,26,945,1314
Male,Hard,Roger-Vasselin E.,Garcia-Lopez G.,40,58,1038,801
Male,Hard,Querrey S.,Gulbis E.,51,24,915,1418
Male,Hard,Anderson K.,Thiem D.,21,136,1580,422
Male,Hard,Fognini F.,Nieminen J.,16,39,1930,1090
Male,Hard,Wawrinka S.,Falla A.,8,87,3890,612
Male,Hard,Pospisil V.,Ebden M.,30,67,1289,711
Male,Hard,Nishikori K.,Lajovic D.,17,117,1915,483
Male,Hard,Young D.,Seppi A.,91,25,595,1360
Male,Hard,Klizan M.,Rola B.,106,185,518,276
Male,Hard,Tsonga J.W.,Bellucci T.,10,129,3065,430
Male,Hard,Robert S.,Przysiezny M.,119,64,479,730
Male,Hard,Federer R.,Kavcic B.,6,99,4355,559
Male,Hard,Nadal R.,Kokkinakis T.,1,570,13130,53
Male,Hard,Dimitrov G.,Lu Y.H.,22,53,1460,860
Male,Hard,Simon G.,Cilic M.,19,36,1790,1130
Male,Hard,Raonic M.,Hanescu V.,11,76,2860,665
Male,Hard,Lopez F.,Berrer M.,27,144,1310,391
Male,Hard,Gabashvili T.,Verdasco F.,79,33,651,1235
Male,Hard,Monfils G.,Sock J.,32,95,1245,582
Male,Hard,Bautista R.,Del Potro J.M.,62,5,750,5415
Male,Hard,Murray A.,Millot V.,4,267,5560,170
Male,Hard,Paire B.,Kyrgios N.,28,183,1300,277
Male,Hard,Wawrinka S.,Pospisil V.,8,30,3890,1289
Male,Hard,Mayer F.,Janowicz J.,37,20,1110,1615
Male,Hard,Ferrer D.,Chardy J.,3,31,5640,1255
Male,Hard,Anderson K.,Roger-Vasselin E.,21,40,1580,1038
Male,Hard,Berdych T.,Dzumhur D.,7,188,4180,272
Male,Hard,Robredo T.,Gasquet R.,18,9,1810,3140
Male,Hard,Fognini F.,Querrey S.,16,51,1930,915
Male,Hard,Djokovic N.,Istomin D.,2,49,12260,945
Male,Hard,Robert S.,Klizan M.,119,106,479,518
Male,Hard,Federer R.,Gabashvili T.,6,79,4355,651
Male,Hard,Dimitrov G.,Raonic M.,22,11,1460,2860
Male,Hard,Bautista R.,Paire B.,62,28,750,1300
Male,Hard,Murray A.,Lopez F.,4,27,5560,1310
Male,Hard,Tsonga J.W.,Simon G.,10,19,3065,1790
Male,Hard,Nishikori K.,Young D.,17,91,1915,595
Male,Hard,Nadal R.,Monfils G.,1,32,13130,1245
Male,Hard,Ferrer D.,Mayer F.,3,37,5640,1110
Male,Hard,Djokovic N.,Fognini F.,2,16,12260,1930
Male,Hard,Berdych T.,Anderson K.,7,21,4180,1580
Male,Hard,Wawrinka S.,Robredo T.,8,18,3890,1810
Male,Hard,Dimitrov G.,Bautista R.,22,62,1460,750
Male,Hard,Nadal R.,Nishikori K.,1,17,13130,1915
Male,Hard,Murray A.,Robert S.,4,119,5560,479
Male,Hard,Federer R.,Tsonga J.W.,6,10,4355,3065
Male,Hard,Berdych T.,Ferrer D.,7,3,4180,5640
Male,Hard,Wawrinka S.,Djokovic N.,8,2,3890,12260
Male,Hard,Nadal R.,Dimitrov G.,1,22,13130,1460
Male,Hard,Federer R.,Murray A.,6,4,4355,5560
Male,Hard,Wawrinka S.,Berdych T.,8,7,3890,4180
Male,Hard,Nadal R.,Federer R.,1,6,13130,4355
Male,Hard,Wawrinka S.,Nadal R.,8,1,3890,13130
Male,Hard,Mathieu P.H.,Mahut N.,140,47,392,968
Male,Hard,Istomin D.,Ilhan M.,43,188,990,268
Male,Hard,Mannarino A.,Millot V.,72,203,702,240
Male,Hard,Gicquel M.,Llodra M.,127,105,440,541
Male,Hard,Olivetti A.,De Schepper K.,249,82,186,652
Male,Hard,Herbert P.H.,Artunedo Martinavarro A.,160,340,331,126
Male,Hard,Sousa J.,Kamke T.,50,89,890,616
Male,Hard,Nieminen J.,Nedovyesov A.,36,95,1090,588
Male,Hard,Monfils G.,Kubot L.,30,75,1245,686
Male,Hard,Brown D.,Gabashvili T.,104,64,543,731
Male,Hard,Davydenko N.,Benneteau J.,60,39,760,1045
Male,Hard,Roger-Vasselin E.,Przysiezny M.,38,57,1083,775
Male,Hard,Istomin D.,Tursunov D.,43,28,990,1314
Male,Hard,Nieminen J.,Herbert P.H.,36,160,1090,331
Male,Hard,Gicquel M.,Simon G.,127,20,440,1700
Male,Hard,Olivetti A.,Davydenko N.,249,60,186,760
Male,Hard,Monfils G.,Sousa J.,30,50,1245,890
Male,Hard,Roger-Vasselin E.,Brown D.,38,104,1083,543
Male,Hard,Gasquet R.,Mathieu P.H.,9,140,3050,392
Male,Hard,Janowicz J.,Mannarino A.,21,72,1615,702
Male,Hard,Nieminen J.,Gicquel M.,36,127,1090,440
Male,Hard,Monfils G.,Istomin D.,30,43,1245,990
Male,Hard,Janowicz J.,Roger-Vasselin E.,21,38,1615,1083
Male,Hard,Gasquet R.,Olivetti A.,9,249,3050,186
Male,Hard,Monfils G.,Nieminen J.,30,36,1245,1090
Male,Hard,Gasquet R.,Janowicz J.,9,21,3050,1615
Male,Hard,Monfils G.,Gasquet R.,30,9,1245,3050
Male,Clay,Mayer L.,Haider-Maurer A.,91,111,614,521
Male,Clay,Garcia-Lopez G.,Reister J.,56,96,836,587
Male,Clay,Bedene A.,Robert S.,109,84,528,627
Male,Clay,Delbonis F.,Cuevas P.,61,224,756,215
Male,Clay,Lorenzi P.,Gonzalez A.,107,76,537,676
Male,Clay,Alund M.,Ramos A.,133,86,404,626
Male,Clay,Carreno-Busta P.,Volandri F.,65,74,731,694
Male,Clay,Daniel T.,Bellucci T.,226,125,213,450
Male,Clay,Giraldo S.,Ramirez-Hidalgo R.,71,173,703,304
Male,Clay,Gimeno-Traver D.,Dolgopolov O.,85,52,627,860
Male,Clay,Zeballos H.,Lama G.,67,289,730,155
Male,Clay,Chardy J.,Garin C.,44,379,985,106
Male,Clay,Mayer L.,Robredo T.,91,16,614,1980
Male,Clay,Garcia-Lopez G.,Lorenzi P.,56,107,836,537
Male,Clay,Giraldo S.,Granollers M.,71,225,703,214
Male,Clay,Almagro N.,Alund M.,18,133,1930,404
Male,Clay,Daniel T.,Delbonis F.,226,61,213,756
Male,Clay,Gimeno-Traver D.,Zeballos H.,85,67,627,730
Male,Clay,Chardy J.,Carreno-Busta P.,44,65,985,731
Male,Clay,Fognini F.,Bedene A.,15,109,2100,528
Male,Clay,Giraldo S.,Garcia-Lopez G.,71,56,703,836
Male,Clay,Mayer L.,Gimeno-Traver D.,91,85,614,627
Male,Clay,Fognini F.,Chardy J.,15,44,2100,985
Male,Clay,Almagro N.,Daniel T.,18,226,1930,213
Male,Clay,Mayer L.,Giraldo S.,91,71,614,703
Male,Clay,Fognini F.,Almagro N.,15,18,2100,1930
Male,Clay,Fognini F.,Mayer L.,15,91,2100,614
Male,Hard,Cilic M.,Delic M.,37,370,1085,110
Male,Hard,Becker B.,Huta Galung J.,93,92,602,609
Male,Hard,Lajovic D.,Krstin P.,101,373,547,109
Male,Hard,Phau B.,Pavic A.,358,229,117,210
Male,Hard,Berrer M.,Coric B.,148,303,360,147
Male,Hard,Lacko L.,Struff J.L.,102,119,547,481
Male,Hard,Karlovic I.,Brands D.,79,68,667,719
Male,Hard,Evans D.,Hajek J.,147,106,362,540
Male,Hard,Sela D.,Rosol L.,78,49,671,911
Male,Hard,Kuznetsov An.,Stakhovsky S.,142,83,382,636
Male,Hard,Golubev A.,Hanescu V.,87,73,620,700
Male,Hard,Sijsling I.,Kavcic B.,63,112,740,514
Male,Hard,Cilic M.,Lajovic D.,37,101,1085,547
Male,Hard,Sela D.,Lacko L.,78,102,671,547
Male,Hard,Phau B.,Youzhny M.,358,14,117,2145
Male,Hard,Evans D.,Berrer M.,147,148,362,360
Male,Hard,Kohlschreiber P.,Golubev A.,27,87,1330,620
Male,Hard,Kuznetsov An.,Sijsling I.,142,63,382,740
Male,Hard,Dodig I.,Karlovic I.,34,79,1145,667
Male,Hard,Haas T.,Becker B.,12,93,2435,602
Male,Hard,Phau B.,Sela D.,358,78,117,671
Male,Hard,Cilic M.,Dodig I.,37,34,1085,1145
Male,Hard,Evans D.,Kohlschreiber P.,147,27,362,1330
Male,Hard,Haas T.,Kuznetsov An.,12,142,2435,382
Male,Hard,Cilic M.,Phau B.,37,358,1085,117
Male,Hard,Haas T.,Evans D.,12,147,2435,362
Male,Hard,Cilic M.,Haas T.,37,12,1085,2435
Male,Clay,Granollers M.,Bedene A.,231,103,211,548
Male,Clay,Pella G.,Garcia-Lopez G.,108,52,513,861
Male,Clay,Berlocq C.,Sousa J.,48,49,915,907
Male,Clay,Andujar P.,Delbonis F.,43,63,981,744
Male,Clay,Robredo T.,Carreno-Busta P.,17,65,1960,733
Male,Clay,Mayer L.,Arguello F.,58,112,764,500
Male,Clay,Fognini F.,Reister J.,14,94,2260,587
Male,Clay,Haase R.,Alund M.,46,131,932,430
Male,Clay,Giraldo S.,Montanes A.,57,61,773,746
Male,Clay,Volandri F.,Garin C.,77,439,683,86
Male,Clay,Ferrer D.,Gonzalez M.,5,160,5280,332
Male,Clay,Ramos A.,Monaco J.,92,42,598,1000
Male,Clay,Chardy J.,Gonzalez A.,45,78,940,676
Male,Clay,Dolgopolov O.,Cuevas P.,53,230,860,215
Male,Clay,Gimeno-Traver D.,Ramirez-Hidalgo R.,84,165,627,316
Male,Clay,Almagro N.,Zeballos H.,18,111,1930,500
Male,Clay,Andujar P.,Granollers M.,43,231,981,211
Male,Clay,Robredo T.,Pella G.,17,108,1960,513
Male,Clay,Fognini F.,Mayer L.,14,58,2260,764
Male,Clay,Haase R.,Berlocq C.,46,48,932,915
Male,Clay,Chardy J.,Dolgopolov O.,45,53,940,860
Male,Clay,Almagro N.,Gimeno-Traver D.,18,84,1930,627
Male,Clay,Ferrer D.,Giraldo S.,5,57,5280,773
Male,Clay,Ramos A.,Volandri F.,92,77,598,683
Male,Clay,Robredo T.,Haase R.,17,46,1960,932
